author,rank,rating,score,title,votes
Margaret Atwood,1,"4.09 avg rating — 1,102,749 ratings","score: 30,733",The Handmaid's Tale,314 people voted
Suzanne Collins,2,"4.33 avg rating — 5,742,283 ratings","score: 28,553","The Hunger Games (The Hunger Games, #1)",292 people voted
Mary Wollstonecraft Shelley,3,"3.78 avg rating — 1,023,563 ratings","score: 21,909",Frankenstein,224 people voted
Madeleine L'Engle,4,"4.01 avg rating — 903,541 ratings","score: 18,720","A Wrinkle in Time (Time Quintet, #1)",196 people voted
Ursula K. Le Guin,5,"4.06 avg rating — 98,810 ratings","score: 17,920",The Left Hand of Darkness (Hainish Cycle #4),184 people voted
Veronica Roth,6,"4.21 avg rating — 2,603,019 ratings","score: 13,326","Divergent (Divergent, #1)",138 people voted
Suzanne Collins,7,"4.29 avg rating — 2,200,866 ratings","score: 12,749","Catching Fire (The Hunger Games, #2)",133 people voted
Lois Lowry,8,"4.12 avg rating — 1,535,313 ratings","score: 12,399","The Giver (The Giver, #1)",129 people voted
Octavia E. Butler,9,"4.23 avg rating — 72,354 ratings","score: 11,070",Kindred,116 people voted
Ursula K. Le Guin,10,"4.21 avg rating — 71,652 ratings","score: 10,731",The Dispossessed (Hainish Cycle #6),112 people voted
Margaret Atwood,11,"4.01 avg rating — 197,821 ratings","score: 10,117","Oryx and Crake (MaddAddam, #1)",107 people voted
Suzanne Collins,12,"4.03 avg rating — 2,072,116 ratings","score: 9,807","Mockingjay (The Hunger Games, #3)",104 people voted
Audrey Niffenegger,13,"3.96 avg rating — 1,446,821 ratings","score: 9,193",The Time Traveler's Wife,98 people voted
Connie Willis,14,"4.03 avg rating — 43,253 ratings","score: 8,935","Doomsday Book (Oxford Time Travel, #1)",96 people voted
Ursula K. Le Guin,15,"4.11 avg rating — 44,001 ratings","score: 7,775",The Lathe of Heaven,84 people voted
Ann Leckie,16,"3.98 avg rating — 66,220 ratings","score: 7,336",Ancillary Justice (Imperial Radch #1),81 people voted
Lois McMaster Bujold,17,"4.11 avg rating — 25,885 ratings","score: 7,017","Shards of Honour  (Vorkosigan Saga, #1)",75 people voted
Connie Willis,18,"4.13 avg rating — 29,644 ratings","score: 6,890","To Say Nothing of the Dog (Oxford Time Travel, #2)",74 people voted
Mary Doria Russell,19,"4.17 avg rating — 52,755 ratings","score: 6,873","The Sparrow (The Sparrow, #1)",72 people voted
Anne McCaffrey,20,"4.10 avg rating — 116,164 ratings","score: 6,802","Dragonflight (Dragonriders of Pern, #1)",74 people voted
Octavia E. Butler,21,"4.16 avg rating — 42,254 ratings","score: 6,653","Parable of the Sower (Earthseed, #1)",71 people voted
Lois McMaster Bujold,22,"4.29 avg rating — 20,959 ratings","score: 6,087","The Warrior's Apprentice (Vorkosigan Saga, #2)",65 people voted
Lois McMaster Bujold,23,"4.31 avg rating — 22,112 ratings","score: 5,623","Barrayar (Vorkosigan Saga, #7)",60 people voted
Stephenie Meyer,24,"3.84 avg rating — 829,025 ratings","score: 5,274","The Host (The Host, #1)",56 people voted
Veronica Roth,25,"4.05 avg rating — 1,045,881 ratings","score: 4,899","Insurgent (Divergent, #2)",54 people voted
Lois McMaster Bujold,26,"4.45 avg rating — 13,950 ratings","score: 4,682","Memory (Vorkosigan Saga, #10)",51 people voted
P.D. James,27,"3.68 avg rating — 36,107 ratings","score: 4,484",The Children of Men,49 people voted
G.S. Jennsen,28,"3.91 avg rating — 2,146 ratings","score: 4,394","Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",45 people voted
Margaret Atwood,29,"4.06 avg rating — 92,237 ratings","score: 4,343","The Year of the Flood  (MaddAddam, #2)",47 people voted
Anne McCaffrey,30,"4.09 avg rating — 17,775 ratings","score: 4,235","Crystal Singer (Crystal Singer, #1)",47 people voted
Lois McMaster Bujold,31,"4.33 avg rating — 17,331 ratings","score: 4,120","Mirror Dance (Vorkosigan Saga, #8)",47 people voted
Octavia E. Butler,32,"4.33 avg rating — 12,571 ratings","score: 4,108","Lilith's Brood (Xenogenesis, #1-3)",47 people voted
Lois McMaster Bujold,33,"4.28 avg rating — 18,977 ratings","score: 3,895","The Vor Game (Vorkosigan Saga, #6)",46 people voted
Octavia E. Butler,34,"4.21 avg rating — 14,437 ratings","score: 3,842","Wild Seed (Patternmaster, #1)",43 people voted
Madeleine L'Engle,35,"4.04 avg rating — 106,044 ratings","score: 3,700","A Wind in the Door (Time Quintet, #2)",42 people voted
Lois McMaster Bujold,36,"4.43 avg rating — 14,496 ratings","score: 3,683","A Civil Campaign (Vorkosigan Saga, #12)",43 people voted
Lois McMaster Bujold,37,"4.21 avg rating — 13,276 ratings","score: 3,653","Brothers in Arms (Vorkosigan Saga, #5)",43 people voted
Lois McMaster Bujold,38,"4.17 avg rating — 14,831 ratings","score: 3,618","Cetaganda (Vorkosigan Saga, #9)",43 people voted
Joan D. Vinge,39,"3.95 avg rating — 11,144 ratings","score: 3,535","The Snow Queen (The Snow Queen Cycle, #1)",43 people voted
Marissa Meyer,40,"4.15 avg rating — 582,877 ratings","score: 3,440","Cinder (The Lunar Chronicles, #1)",38 people voted
C.J. Cherryh,41,"3.91 avg rating — 12,109 ratings","score: 3,381","Downbelow Station (The Company Wars, #1)",40 people voted
Anne McCaffrey,42,"4.01 avg rating — 21,160 ratings","score: 3,361","The Ship Who Sang (Brainship, #1)",39 people voted
Deborah O'Neill Cordes,43,3.81 avg rating — 194 ratings,"score: 3,340","Dragon Dawn (Dinosaurian Time Travel, #1)",34 people voted
Anne McCaffrey,44,"4.25 avg rating — 43,820 ratings","score: 3,092","Dragonsong (Harper Hall, #1)",36 people voted
Lois McMaster Bujold,45,"3.83 avg rating — 16,015 ratings","score: 3,054","Falling Free (Vorkosigan Saga, #4)",37 people voted
Lois McMaster Bujold,46,"3.76 avg rating — 11,391 ratings","score: 2,904","Ethan of Athos (Vorkosigan Saga, #3)",36 people voted
Madeleine L'Engle,47,"4.11 avg rating — 95,090 ratings","score: 2,831","A Swiftly Tilting Planet (Time Quintet, #3)",32 people voted
Octavia E. Butler,48,"4.12 avg rating — 22,780 ratings","score: 2,755","Dawn (Xenogenesis, #1)",32 people voted
Lois McMaster Bujold,49,"4.30 avg rating — 12,912 ratings","score: 2,579","Komarr (Vorkosigan Saga, #11)",31 people voted
C.J. Cherryh,50,"3.94 avg rating — 7,158 ratings","score: 2,547","Foreigner (Foreigner, #1)",30 people voted
Kate Wilhelm,51,"3.87 avg rating — 8,282 ratings","score: 2,535",Where Late the Sweet Birds Sang,30 people voted
Nancy Kress,52,"3.94 avg rating — 6,813 ratings","score: 2,526","Beggars in Spain (Sleepless, #1)",30 people voted
James Tiptree Jr.,53,"4.21 avg rating — 3,311 ratings","score: 2,524",Her Smoke Rose Up Forever,29 people voted
Tanith Lee,54,"4.03 avg rating — 3,384 ratings","score: 2,504","The Silver Metal Lover (Silver Metal Lover, #1)",29 people voted
Lois McMaster Bujold,55,"4.37 avg rating — 11,641 ratings","score: 2,498","Cordelia's Honor (Vorkosigan Omnibus, #1)",31 people voted
C.J. Cherryh,56,"3.92 avg rating — 5,912 ratings","score: 2,469",The Pride of Chanur (Chanur #1),31 people voted
Emily St. John Mandel,57,"4.03 avg rating — 253,847 ratings","score: 2,450",Station Eleven,28 people voted
C.J. Cherryh,58,"really liked it 4.00 avg rating — 9,285 ratings","score: 2,316","Cyteen (Cyteen, #1-3)",30 people voted
Lois McMaster Bujold,59,"4.24 avg rating — 8,712 ratings","score: 2,306",Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),29 people voted
Sheri S. Tepper,60,"4.04 avg rating — 9,266 ratings","score: 2,203","Grass (Arbai, #1)",27 people voted
K.T. Hanna,61,4.18 avg rating — 191 ratings,"score: 2,199","Chameleon (The Domino Project, #1)",22 people voted
Sheri S. Tepper,62,"4.05 avg rating — 11,541 ratings","score: 2,191",The Gate to Women's Country,27 people voted
Joanna Russ,63,"3.54 avg rating — 5,351 ratings","score: 2,128",The Female Man,26 people voted
Kage Baker,64,"3.77 avg rating — 4,995 ratings","score: 2,038","In the Garden of Iden (The Company, #1)",26 people voted
Ceri London,65,4.44 avg rating — 133 ratings,"score: 2,013","Rogue Genesis (Shimmer in the Dark, #1)",21 people voted
Octavia E. Butler,66,"4.24 avg rating — 17,406 ratings","score: 2,006","Parable of the Talents (Earthseed, #2)",25 people voted
C.J. Cherryh,67,"4.12 avg rating — 4,628 ratings","score: 1,931",The Faded Sun Trilogy (The Faded Sun #1-3),23 people voted
Lois McMaster Bujold,68,"4.18 avg rating — 12,109 ratings","score: 1,914","Diplomatic Immunity (Vorkosigan Saga, #13)",26 people voted
Naomi Novik,69,"4.06 avg rating — 67,091 ratings","score: 1,849","His Majesty's Dragon (Temeraire, #1)",22 people voted
Elizabeth Moon,70,"really liked it 4.00 avg rating — 9,437 ratings","score: 1,819",The Speed of Dark,24 people voted
Marion Zimmer Bradley,71,"3.88 avg rating — 5,952 ratings","score: 1,748",Darkover Landfall,21 people voted
Hayley Stone,72,3.79 avg rating — 248 ratings,"score: 1,698","Machinations (Machinations, #1)",17 people voted
G.S. Jennsen,73,"4.22 avg rating — 1,042 ratings","score: 1,684","Vertigo (Aurora Rhapsody, #2)",18 people voted
Lois McMaster Bujold,74,"4.06 avg rating — 11,943 ratings","score: 1,683","CryoBurn (Vorkosigan Saga, #14)",24 people voted
Octavia E. Butler,75,"4.33 avg rating — 3,946 ratings","score: 1,659","Seed to Harvest (Patternmaster, #1-4)",20 people voted
Ursula K. Le Guin,76,"4.04 avg rating — 4,042 ratings","score: 1,572",The Wind's Twelve Quarters,19 people voted
Elizabeth Moon,77,"4.06 avg rating — 3,628 ratings","score: 1,547",Remnant Population,20 people voted
Ursula K. Le Guin,78,"3.95 avg rating — 12,905 ratings","score: 1,510",The Word for World is Forest,20 people voted
Ann Aguirre,79,"3.73 avg rating — 12,662 ratings","score: 1,497","Grimspace (Sirantha Jax, #1)",17 people voted
Nicola Griffith,80,"3.86 avg rating — 3,715 ratings","score: 1,477",Ammonite,20 people voted
Beth Revis,81,"3.77 avg rating — 107,422 ratings","score: 1,435","Across the Universe (Across the Universe, #1)",16 people voted
C.J. Cherryh,82,"4.19 avg rating — 3,610 ratings","score: 1,392","Inheritor (Foreigner, #3)",18 people voted
Mya Robarts,83,"4.02 avg rating — 7,841 ratings","score: 1,380",The V Girl,15 people voted
Lauren Oliver,84,"3.98 avg rating — 392,304 ratings","score: 1,366","Delirium (Delirium, #1)",15 people voted
Vonda N. McIntyre,85,"3.86 avg rating — 8,406 ratings","score: 1,324",Dreamsnake,18 people voted
Pamela Sargent,86,really liked it 4.00 avg rating — 272 ratings,"score: 1,297",Women of Wonder: Science-Fiction Stories by Women about Women,16 people voted
Martha Wells,87,"4.15 avg rating — 35,094 ratings","score: 1,296","All Systems Red (The Murderbot Diaries, #1)",14 people voted
Elizabeth Moon,88,"3.98 avg rating — 11,163 ratings","score: 1,286","Trading in Danger (Vatta's War, #1)",16 people voted
C.J. Cherryh,89,"4.17 avg rating — 4,058 ratings","score: 1,276","Invader (Foreigner, #2)",17 people voted
Marge Piercy,89,"3.95 avg rating — 12,600 ratings","score: 1,276",Woman on the Edge of Time,15 people voted
Maureen F. McHugh,91,"3.94 avg rating — 3,453 ratings","score: 1,253",China Mountain Zhang,18 people voted
S.L. Viehl,92,"3.80 avg rating — 3,632 ratings","score: 1,230","Stardoc (Stardoc, #1)",16 people voted
Margaret Atwood,93,"really liked it 4.00 avg rating — 52,204 ratings","score: 1,212","MaddAddam (MaddAddam, #3)",13 people voted
Tanya Huff,94,"3.98 avg rating — 6,899 ratings","score: 1,165","Valor's Choice (Confederation, #1)",16 people voted
Connie Willis,95,"3.93 avg rating — 10,069 ratings","score: 1,142",Bellwether,13 people voted
C.S. Friedman,96,"4.04 avg rating — 3,262 ratings","score: 1,130",This Alien Shore,15 people voted
Catherine Asaro,97,"3.74 avg rating — 3,686 ratings","score: 1,119","Primary Inversion (Saga of the Skolian Empire, #1)",15 people voted
Marissa Meyer,98,"4.29 avg rating — 265,319 ratings","score: 1,115","Scarlet (The Lunar Chronicles, #2)",12 people voted
Nancy Kress,99,"3.61 avg rating — 1,292 ratings","score: 1,107","Probability Moon (Probability, #1)",15 people voted
Nancy Farmer,100,"4.10 avg rating — 72,377 ratings","score: 1,083","The House of the Scorpion (Matteo Alacran, #1)",12 people voted
